Product Link,Image URL,Category,Gender,Brand,Description,Ratings,Ratings Count,Price
https://www.myntra.com/jeans/kotty/kotty-women-pack-of-2-straight-fit-high-rise-stretchable-jeans/22216396/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22216396/2023/3/4/f2d79dd1-7aab-4e62-9392-c1416e4f7bb11677908822636KottyWomenMulticolouredJeanStraightFitHigh-RiseStretchableJe1.jpg",jeans,F,Kotty,Women Pack Of 2 Jeans,3.8,10900,899
https://www.myntra.com/jeans/basics+by+tokyo+talkies/basics-by-tokyo-talkies-women-flared-clean-look-stretchable-jeans/25067776/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25067776/2023/9/20/b1998b02-3d3a-4810-91c4-69fb3b501ae31695201275118TokyoTalkiesWomenBlackFlaredLowDistressStretchableJeans1.jpg",jeans,F,Basics By Tokyo Talkies,Women Flared Clean Look Jeans,4.1,7500,359
https://www.myntra.com/jeans/flying+machine/flying-machine-women-black-wide-leg-high-rise-mildly-distressed-light-fade-stretchable-jeans/17988968/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17988968/2022/7/22/08b10b77-5015-4b7e-8d1d-a4aa0c3d0e201658485086960-Flying-Machine-Women-Black-Wide-Leg-High-Rise-Mildly-Distres-1.jpg",jeans,F,Flying Machine,Women Wide Leg High-Rise Jeans,4.2,876,1224
https://www.myntra.com/jeans/ivoc/ivoc-women-grey-mid-rise-cotton-cargos-trousers/26882686/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26882686/2024/1/11/e276c409-7cf9-455f-aaae-81048aad7d041704991700603IVOCWomenGreyCargosTrousers1.jpg",jeans,F,IVOC,Women Cotton Cargos Trousers,4.3,2800,1311
https://www.myntra.com/jeans/h%26m/hm-women-pure-cotton-straight-regular-jeans/31132634/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/26/nAqR7mhf_d63f5a01dc194826bdcb1e25d75d333b.jpg",jeans,F,H&M,Cotton Straight Regular Jeans,3.9,187,Rs. 2299
https://www.myntra.com/jeans/kotty/kotty-women-bootcut-high-rise-clean-look-stretchable-jeans/29828744/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29828744/2024/5/28/24ee3430-b4ef-448e-ba4d-1f2a0612c4ba1716880188009KottyWomenBootcutHigh-RiseLowDistressStretchableJeans1.jpg",jeans,F,Kotty,Women Bootcut High-Rise Jeans,3.5,5300,649
https://www.myntra.com/jeans/sassafras/sassafras-women-wide-leg-stretchable-jeans/22408152/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22408152/2023/3/24/5d328149-7f47-4b79-b499-5c9bd5de316a1679650604697SASSAFRASWomenBlackStraightFitLowDistressStretchableJeans1.jpg",jeans,F,SASSAFRAS,Women Wide Leg Jeans,4.2,6700,1077
https://www.myntra.com/jeans/roadster/the-roadster-life-co-women-wide-leg-light-fade-stretchable-jeans/24989208/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24989208/2024/3/4/f16f6eb4-7109-48b2-aca2-bbad791743541709549167976-Roadster-Women-Jeans-8911709549167485-1.jpg",jeans,F,Roadster,Women Wide Leg Jeans,3.9,214,879
https://www.myntra.com/jeans/vestido+modas/vestido-modas-women-skinny-fit-high-rise-light-fade-stretchable-jeans/23848990/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23848990/2023/7/3/8aad15d5-0784-4ff7-9473-170ae51b6f301688360821333VESTIDOMODASWomenBlueSkinnyFitHigh-RiseLightFadeStretchableJ1.jpg",jeans,F,VESTIDO MODAS,Women High-Rise Jeans,4,40,799
https://www.myntra.com/tshirts/friskers/friskers-men-navy-blue--grey-typography-printed-t-shirt/16046802/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16046802/2021/11/10/25417ef8-176d-4326-9d03-fa2a441417bb1636526810726FriskersMenNavyBlueTypographyPocketsT-shirt1.jpg",tshirts,M,Friskers,Men Typography Printed T-shirt,4,46,899
